Luca, Rome, archivio sforico
Decreti, Congregazioni 1755-60"
ASV ,Archivio di Stato di Venezia Inquisitori di Stato,,"20, 26, 1014, 1496, 1919, 2410.1, 2410.2, 2571, 2698.1, 2698.2, 2830, 3127, 3281, 3447, 3680, 3735, 4123, 4227, 4418, 4514","27, 50, 57, 65, 71, 74, 121, 142, 195, 243, 270, 305, 316, 365, 387, 425, 431, 450, 470, 545, 582, 616.1, 616.2, 619.1, 619.2, 640, 646, 653, 657, 669, 675, 677, 731, 739, 784, 810, 899, 921, 935, 953, 959, 1037, 1049, 1050, 1059, 1061, 1065, 1066, 1110, 1118, 1121, 1126, 1140, 1142, 1291, 1292.1, 1292.2, 1320, 1325, 1329, 1331, 1410, 1415, 1434, 1458, 1462, 1467, 1493, 1507, 1524, 1526, 1537, 1565, 1665, 1667.1, 1667.2, 1707, 1711, 1716, 1749, 1783, 1795, 1806, 1827, 1834, 1856.1, 1856.2, 1864.1, 1864.2, 1889, 1942, 1950, 1953, 1995, 2024, 2049, 2052, 2066, 2081, 2084, 2090, 2091, 2092, 2102, 2106, 2125, 2126, 2150, 2178, 2195, 2227, 2229, 2231, 2240, 2254, 2256, 2268, 2292, 2296, 2313, 2325, 2415, 2476, 2485, 2486, 2497, 2526, 2535, 2571, 2573, 2578, 2587, 2600, 2618, 2619, 2705, 2711, 2713, 2743, 2756, 2786, 2810, 2860, 2926, 2940, 2973, 2975, 2976, 2983, 3001, 3072, 3090, 3092, 3106, 3108, 3184, 3196, 3212, 3213, 3216, 3236, 3242, 3246, 3269, 3289, 3331, 3366, 3410, 3412, 3423, 3439, 3443, 3451, 3459, 3477, 3500, 3506, 3596, 3621, 3630, 3645, 3654, 3661, 3712, 3740, 3754, 3772, 3806, 3858, 3859, 3902, 3913, 3915, 3967.1, 3967.2, 3967.3, 3967.4, 3973, 3984, 4025, 4048, 4080, 4110, 4117, 4142, 4149, 4180, 4191, 4226, 4253, 4265, 4364, 4395, 4474, 4513, 4521, 4522, 4534, 4557, 4572, 4615, 4618, 4620, 4631, 4662, 4676, 4700, 4705, 4731, 4732, 4748, 4752, 4787, 4789, 4798, 4816, 4836, 4891, 4892, 4923, 4940, 4943, 4955, 4986, 4991, 5021, 5023, 5027, 5039, 5051, 5084, 5123, 5131, 5134, 5135, 5136, 5142, 5147, 5168, 5227, 5241",,,,,,,,,
ASV IS 782-83,"Archivio di Stato di Venezia Inquisitori di Stato Note dei forestieri: Bassano, Bergamo, Brescia, Padua, Verona,Vicenza, etc., 1794-97",,,,,,,,,,,,
ASV IS 914,Archivio di Stato di Venezia Inquisitori di Stato Teatri 1665-1797,,,,,,,,,,,,
ASV IS 919,Archivio di Stato di Venezia Inquisitori di Stato Atti vari [ inc. Licenze per visitar l'Arsenal 1772-9 and Elenchi di navi 1702],,,,,,,,,,,,
ASVR US XXXVII,"Archivio di Stato di Verona, Ufficio di Sanita', Contumacie civili e militari 1738-44",,,1120,,,,,,,,,
ASVR US XXXVIII,"Archivio di Stato di Verona, Ufficio di Sanita', Contumacie civili e militari 1738-44",,5117,,,,,,,,,,
ASVR US XXXIX,"Archivio di Stato di Verona, Ufficio di Sanita', Contumacie civili e militari 1738-44",,,,,,,,,,,,
Attingham MSS,priv.coll. (inc. letters to Lady Bruce from Italy 1794-7),,,24,,,,,,,,,
AVR LM,"Archivio del Vicariato, S.Giovanni in Laterano, Rome Liber Mortuorum",,,2298,,,,,,,,,
AVR SA,"Archivio del Vicariato, S.Giovanni in Laterano, Rome Stati delle Anime",,"1588, 1886, 1984, 3699, 4646","27, 49, 114, 209, 302, 580, 668.1, 668.2, 826, 843, 870.1, 870.2, 940, 1020, 1020.1, 1054, 1171, 1290, 1338, 1566.1, 1566.2, 1641, 1802, 1881, 2019, 2055, 2078, 2139.1, 2139.2, 2176, 2192, 2217, 2227, 2578, 2581, 2891, 2895, 3138, 3144, 3166, 3293, 3323, 3427, 3432, 3451, 3480, 3526, 3627, 3704, 3777, 3818, 3906, 3943, 4053, 4225.1, 4225.2, 4361, 4378, 4400, 4401, 4407, 4430, 4481, 4586, 4602, 4618, 4732, 4844, 4983, 5145",,,,,,,,,
Badminton MSS,"Badminton House, Glos.",,,,,,,,,,,,
"Baillie, Household Bk.","The Household Book of Lady Grisell Baillie 1693-1733, ed. R. Scott-Moncrieff, Scots.Hist.Soc., n. ser. 1[1911]",,187,2233,,,,,,,,,
Baldwyn Letters,"letters from Charles Baldwyn to his cousin Adam Ottley, in Shropshire Archaeological and Natural Hist.Soc. Trans., 4th ser. 2[1912]:347-79",,,,,,,,,,,,
Balfour of Fernie MSS,priv.coll. (NRA 14146),,,,,,,,,,,,
Bankes MSS,"Henry Bankes, letters to his mother from Italy 1778-80 and 1782 and diaries of his grand tour 1778-80; Kingston Lacy Mss, Dorset RO, Dorchester, on deposit from the National Trust (notes from A. Cleminson in RBF)",,220,"1902.1, 1902.2, 1950, 3895, 3959, 4379",,,,,,,,,
Barker jnl.MSS,"Henry Alton Barker, journals and sketchbooks 1799-1805; NLS, MS.9647",,,4775,,,,,,,,,
Barne letters MSS,"letters from Miles Barne in Italy 1771; Suffolk RO, Ipswich, HA53:359/130, 114, 109, 110.",,253,,,,,,,,,,
Barrett-Lennard MSS,"letters from Thomas Barrett in
 Italy 1749-50 to Nicholas Hardinge; Essex RO, 
Chelmsford, D'DL C43/3/224-8",,,,,,,,,,,,
Barrington MSS,"BL [formerly Suffolk RO, HA 174/1026/68]",,,,,,,,,,,,
"Barry, Works","The Works of James Barry, Historical Painter, 2 vols. [ 1809]",,,,,,,,,,,,
Beckingham list MSS,list of works of art acquired by Stephen Beckingham from Italy [1752-]; priv.coll.,,335,,,,,,,,,,
Belgioioso Letters,"Corrispondenza di Alberigo Barbiano di Belgioioso con diversi 1759-96; Archivio Storico Civico e Biblioteca Trivulziana, Milan",,,"4245, 4430",,,,,,,,,
"Bell, Banks","C.F. Bell, Annals of Thomas 
Banks [1938]",,,"2170, 2749, 3802",,,,,,,,,
Bentham jnl.MSS,"journal of Mrs Sarah Bentham 
in Italy 1793-4; PRO, Colchester
 MSS, 30/9/ 43, 44",,"366, 1648, 2087","61, 383, 939, 1650, 2125, 2231, 2429, 3907, 4644",,,,,,,,,
Bentinck letters MSS,"letters from Willem Bentinck in Italy 1727-8, to his mother, the Countess of Portland; BL, Eg.1711",,,,,,,,,,,,
"Berkeley Jnls.
","The Works of George Berkeley, ed. A.A. Luce and T.E. Jessop vol.7, Berkeley's Journals of Travels in Italy [1955], 231-333",,,,,,,,,,,,
Berkeley Letters,"The Works of George Berkeley, ed. A.A. Luce and T.E. Jessop vol.8, Letters [1956]",,,,,,,,,,,,
Bernege letters MSS,"letters from Moses Bernege in Italy 1727-8 with Willem Bentinck, to the Countess of Portland; BL, Eg.1711",,473,247,,,,,,,,,
Berry Jnls.,"Extracts from the Journals and Correspondence of Miss Berry 1783-1852, ed. by Lady Theresa Lewis, 3 vols. [1866 ed.]",,,3260,,,,,,,,,
"Bertolotti, 2:","A. Bertolotti, 'Esportazione di oggetti di Belle Arti da Roma nei secoli XVII e XVIII' in Fabio Gori, Archivio Storico Artistico
Archeologico e Letterario della Citta e Provincia di Roma, 2[1877]:212-24",,,1139,,,,,,,,,
"Bertolotti, 4:","A. Bertolotti, 'Esportazione di oggetti di Belle Arti da Roma nei secoli XVII e XVIII' in Fabio Gori, Archivio Storico Artistico
Archeologico e Letterario della Citta e Provincia di Roma, 4[1880]:74-90",,,"2271, 2451, 2989, 4249",,,,,,,,,
Black 1984,"J. Black, 'The Grand Tour and Savoy-Piedmont in the Eighteenth Century', Studi Piemontesi, 13.1[1984]:140-62",,,1187,,,,,,,,,
Black 1985,"J. Black, The British and the Grand Tour [1985]",1303,,,,,,,,,,,
Black 1992,"J. Black, The British Abroad. The
 Grand Tour in the Eighteenth
 Century [1992]",,,1160,,,,,,,,,
Blackburne 1780,"F. Blackburne, Memorials of Thomas Hollis [1780]",,,,,,,,,,,,
Blackett letters MSS,"letters from William Blackett in Italy to his father 1785; Northumb.
 RO, Newcastle, ZBL 239",,"443, 2396, 5053.1, 5053.2",3541,,,,,,,,,
Blagden Jnl.,"travel diary of Sir Charles Blagden in Italy 1792-3: the Geneva portion only pub. Notes and Records, R. Soc. of London, 8.1[1950]:65ff.",,447,,,,,,,,,,
Blagden Letters,"Some Letters of Sir Charles Blagden' in Italy 1792-3, Notes and Records, R. Soc.of London, 8.2 [1951]:254-60",,447,,,,,,,,,,
Blathwayt Letters,"N. Hardwick, The Grand Tour, Letters Letters and Accounts relating to the Travels through Europe of the Brothers William and John Blathwayt of Dyrham Park 1705 -08, [1985] (Mss in Glos. RO., Gloucester, D17 99/q [letters];D1799/A 325 [accts.and recpts.])",,1547,,,,,,,,,,
Bodoni cart.,"Carteggio Bodoni, corr. of G .B.
 Bodoni (1740-1813); BPP",,1567,,,,,,,,,,
Bologna [newspaper],newspaper of Bologna,,,,,,,,,,,,
