Full title,Abbreviation in sources,Abbreviation in dictionary,,Number of entries with the source as January 2023,
"A. Bertolotti, 'Esportazione di oggetti di Belle Arti da Roma nei secoli XVII e XVIII' in Fabio Gori, Archivio Storico Artistico
Archeologico e Letterario della Citta e Provincia di Roma, 2[1877]:212-24","Bertolotti, 2","Bertolotti, 2:",,11,
"A. Bertolotti, 'Esportazione di oggetti di Belle Arti da Roma nei secoli XVII e XVIII' in Fabio Gori, Archivio Storico Artistico
Archeologico e Letterario della Citta e Provincia di Roma, 4[1880]:74-90","Bertolotti, 4","Bertolotti, 4:",,23,
"J. Black, 'The Grand Tour and Savoy-Piedmont in the Eighteenth Century', Studi Piemontesi, 13.1[1984]:140-62",Black 1984,Black 1984,,5,
"J. Black, The British and the Grand Tour [1985]",Black 1985,Black 1985,,4,
"J. Black, The British Abroad. The Grand Tour in the Eighteenth Century [1992]",Black 1992,Black 1992,,22,
"F. Blackburne, Memorials of Thomas Hollis [1780]",Blackburne 1780,Blackburne 1780,,N.A.,
"letters from William Blackett in Italy to his father 1785; Northumb RO, Newcastle, ZBL 239",Blackett letters MSS,Blackett letters MSS,,17,
"travel diary of Sir Charles Blagden in Italy 1792-3: the Geneva portion only pub. Notes and Records, R. Soc. of London, 8.1[1950]:65ff.",Blagden Jnl.,Blagden Jnl.,,10,
"Some Letters of Sir Charles Blagden' in Italy 1792-3, Notes and Records, R. Soc.of London, 8.2 [1951]:254-60",Blagden Letters,Blagden Letters,,3,
"N. Hardwick, The Grand Tour, Letters Letters and Accounts relating to the Travels through Europe of the Brothers William and John Blathwayt of Dyrham Park 1705 -08, [1985] (Mss in Glos. RO., Gloucester, D17 99/q [letters];D1799/A 325 [accts.and recpts.])",Blathwayt Letters,Blathwayt Letters,,8,
"Carteggio Bodoni, corr. of G .B. Bodoni (1740-1813); BPP",Bodoni cart.,Bodoni cart.,,14,
newspaper of Bologna,Bologna [newspaper],Bologna [newspaper],,4,
